1,Bell,2016,365,331,34,0,0,0,0,100,50,38,0,0,365,0,0,0
2,Bexar,2016,366,268,92,5,1,0,0,160,64,43,0,5,222,0,139,0
3,Bowie,2016,273,221,52,0,0,0,0,76,54,36,0,0,0,0,273,0
4,Brazoria,2016,366,313,50,3,0,0,0,115,61,36,0,2,364,0,0,0
5,Brewster,2016,359,321,38,0,0,0,0,84,51,39,0,0,327,0,32,0
6,Cameron,2016,366,277,87,2,0,0,0,110,63,40,0,0,166,0,200,0
7,Collin,2016,363,318,41,4,0,0,0,119,58,37,0,0,363,0,0,0
8,Dallas,2016,366,264,99,3,0,0,0,140,64,43,0,24,196,0,143,3
9,Denton,2016,366,291,64,11,0,0,0,143,64,40,0,5,284,0,77,0
10,Ector,2016,365,336,28,1,0,0,0,102,49,27,0,0,0,0,365,0
11,El Paso,2016,366,198,162,6,0,0,0,147,74,49,0,23,190,0,152,1
12,Ellis,2016,366,302,64,0,0,0,0,100,56,40,0,3,217,0,146,0
13,Fayette,2016,361,336,25,0,0,0,0,84,45,25,0,0,0,0,361,0
14,Galveston,2016,366,287,73,6,0,0,0,147,67,42,0,4,278,2,82,0
15,Gregg,2016,366,333,33,0,0,0,0,100,50,37,0,1,359,6,0,0
16,Harris,2016,366,199,150,16,1,0,0,159,80,49,0,27,166,0,168,5
17,Harrison,2016,366,328,38,0,0,0,0,76,51,37,0,0,228,1,136,1
18,Hidalgo,2016,366,289,76,1,0,0,0,114,61,36,0,0,179,0,184,3
19,Hood,2016,365,339,25,1,0,0,0,133,49,35,0,0,365,0,0,0
20,Hunt,2016,366,351,15,0,0,0,0,67,47,35,0,1,365,0,0,0
21,Jefferson,2016,366,267,87,11,1,0,0,160,71,43,0,0,229,35,102,0
22,Johnson,2016,357,300,53,4,0,0,0,150,64,40,0,0,357,0,0,0
23,Kaufman,2016,366,329,37,0,0,0,0,80,51,37,0,1,246,0,119,0
24,Kleberg,2016,153,128,25,0,0,0,0,92,53,28,0,0,0,0,153,0
25,Maverick,2016,322,278,44,0,0,0,0,82,53,27,0,0,0,0,322,0
26,McLennan,2016,365,339,26,0,0,0,0,74,47,35,0,3,322,0,40,0
27,Montgomery,2016,366,280,82,4,0,0,0,133,61,43,0,0,215,0,151,0
28,Navarro,2016,366,303,63,0,0,0,0,83,55,39,0,0,231,13,122,0
29,Nueces,2016,366,307,59,0,0,0,0,93,57,37,0,0,259,0,107,0
30,Orange,2016,366,332,33,1,0,0,0,101,50,35,0,0,230,11,125,0
31,Parker,2016,365,333,31,0,1,0,0,156,50,37,0,0,365,0,0,0
32,Polk,2016,346,341,5,0,0,0,0,77,44,32,0,0,346,0,0,0
33,Potter,2016,366,362,4,0,0,0,0,65,34,21,0,0,0,18,348,0
34,Randall,2016,346,303,42,1,0,0,0,112,54,41,0,0,346,0,0,0
35,Rockwall,2016,360,331,29,0,0,0,0,77,49,35,0,0,360,0,0,0
36,Smith,2016,366,344,21,1,0,0,0,101,48,37,0,5,361,0,0,0
37,Tarrant,2016,366,273,85,7,1,0,0,174,66,43,0,20,221,0,125,0
38,Travis,2016,366,280,85,1,0,0,0,105,60,42,0,15,219,0,131,1
39,Victoria,2016,348,328,20,0,0,0,0,90,47,33,0,0,348,0,0,0
40,Webb,2016,366,285,81,0,0,0,0,96,60,37,0,0,109,0,256,1
